Model,Amazon_Price,Amazon_Rating,Amazon_Number_of_Reviews,Amazon_URL,Flipkart_Price,Flipkart_Rating,Flipkart_Number_of_Reviews,Flipkart_URL,Croma_Price,Croma_Rating,Croma_Number_of_Reviews,Croma_URL
IPhone 14(256GB) - Midnight,64900,4.5,5875,https://www.amazon.in/Apple-iPhone-14-256GB-Midnight/dp/B0BDJ6N5D6/ref=sr_1_2?crid=2WZS7NB6XBI9Y&dib=eyJ2IjoiMSJ9.zTYHvf72DDTg4O4_qlSigtkU6iQcnFoZuspgxESe0vABhYBu9Wzia6wAaUtmeUa6l2_i-g-lQpjt2dGxiPikUrYwrUE2v3x2BaNKdplJHqJKWt2fNSMArLmMbvYX2tnunn6vHP8xPQzKjEwo0lEbfgLV7QXvYnBpk0OTpnOqNBpynb8J5dbF4hHvWgcTGaMgTpvzyqy1X4G-ynb_tlZMNUKL8l-3USFZNxZ5oecOPow.xLqvxIhBAPUOFvUa0Fpht-uUFExjxHBJnsG8oOmVnGA&dib_tag=se&keywords=IPhone%2B14(256GB)%2B-%2BMidnight&qid=1743099291&sprefix=iphone%2B14%2B256gb%2B-%2Bmidnight%2Caps%2C243&sr=8-2&th=1,64999,4.6,9872,https://www.flipkart.com/apple-iphone-14-midnight-256-gb/p/itm4199ea6bcd38b?pid=MOBGHWFH4H3MMRAA&lid=LSTMOBGHWFH4H3MMRAAQSJTKY&marketplace=FLIPKART&q=IPhone+14%28256GB%29+-+Midnight&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=04c48c14-bb8a-4f17-af40-8c78606bd6ca.MOBGHWFH4H3MMRAA.SEARCH&ppt=sp&ppn=sp&ssid=a8iz684nvk0000001743099295794&qH=9c6571b0884b7800,69900,4.9,26,https://www.croma.com/apple-iphone-14-256gb-midnight-/p/261935
IPhone 13(128GB) - Starlight,44999,4.5,33143,https://www.amazon.in/Apple-iPhone-13-512GB-Starlight/dp/B09G9D8KRQ/ref=sr_1_4?crid=3B4924MC3HHMZ&dib=eyJ2IjoiMSJ9.eFa-TvbcC_zjCq_5PD2KO5CGpSze29Ey1Fiqopkwj5WATB3k0IjULIH9a1tfmqcznSpaHyNDcedNHP0amc-NCEfYXlSl5uZaxa9TOtMGrL7GgSmYvLt3aG5ChkpyWrHr6uoE9hO0Chv5WAktaBUz27-QY3XQLd-HhQXrpO4pgLZqY3X8C1voewLl1go2q2qYA1bfVUZX7DKhqm_AwMZDZAA9WXHXHaYkJY83Lcdq2OE.9iAJJQAKC0YLszudtUrkdzEbmxWzWt3YYVUFb-wqd2o&dib_tag=se&keywords=IPhone%2B13(128GB)%2B-%2BStarlight&qid=1743099733&sprefix=iphone%2B13%2B128gb%2B-%2Bstarlight%2Caps%2C248&sr=8-4&th=1,44999,4.6,9674,https://www.flipkart.com/apple-iphone-13-starlight-128-gb/p/itmc9604f122ae7f?pid=MOBG6VF5ADKHKXFX&lid=LSTMOBG6VF5ADKHKXFX4LCPEV&marketplace=FLIPKART&q=IPhone+13%28128GB%29+-+Starlight&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=ff406814-59c6-49d9-9c8c-42c4a5319356.MOBG6VF5ADKHKXFX.SEARCH&ppt=sp&ppn=sp&ssid=t5fs5hk9nk0000001743099730326&qH=ae1244bf78b64df6,46400,4.6,444,https://www.croma.com/apple-iphone-13-128gb-starlight-white-/p/243460
"SAMSUNG Galaxy S24 Ultra 5G(12GB RAM,256GB,Titanium Gray)",129999,4.3,93,https://www.amazon.in/Samsung-Smartphone-Titanium-Storage-Included/dp/B0DSKMV3ZC/ref=sr_1_3?crid=C5IDCL9TJQPG&dib=eyJ2IjoiMSJ9.lVz9zspB0cHqUMu6Tv4KVyXm9MaStt69JTSrM5BkuHDQfmYPRfNFv0Jr5_pAO9BlqmoTCZP1vZhNqoxKgHvUEV7s3n_QVE04lrb_CyUGhHkpCDQsJ44SgBIwz4-ZoThtb5uGpOdLjPU6ui0f8UHWY1W5-VsYy0cibvQMaT5fyhsBPaY3maJf7GG0ZeEP0PWt2hFlcCUGGddVNXBcKkiUok_UynVcgtO5Iy_Gk8NQFpM.DoJspqy-9lB3O1iilAo6-gCdcxAINxWN_Bl18L8bTeo&dib_tag=se&keywords=SAMSUNG%2BGalaxy%2BS24%2BUltra%2B5G(12GB%2BRAM%2C256GB%2CTitanium%2BGray)&qid=1743100464&sprefix=samsung%2Bgalaxy%2Bs24%2Bultra%2B5g%2B12gb%2Bram%2C256gb%2Ctitanium%2Bgray%2B%2Caps%2C388&sr=8-3&th=1,119999,4.6,144,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-256-gb/p/itm463827d6eb2be?pid=MOBGX2F3RQKKKTAW&lid=LSTMOBGX2F3RQKKKTAWKAVWET&marketplace=FLIPKART&q=SAMSUNG+Galaxy+S24+Ultra+5G%2812GB+RAM%2C256GB%2CTitanium+Gray%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=6ac228b5-34f6-44f8-911e-4a58c9732027.MOBGX2F3RQKKKTAW.SEARCH&ppt=sp&ppn=sp&ssid=mj7stma0ow0000001743100469302&qH=46ebc93a112daf76,119999,2.3,3,https://www.croma.com/samsung-galaxy-s24-ultra-5g-12gb-ram-256gb-titanium-gray-/p/303838
"SAMSUNG Galaxy Z Fold6 5G(12GB RAM,256GB,Navy)",149999,4.2,111,https://www.amazon.in/Samsung-Galaxy-Fold6-Smartphone-Storage/dp/B0D841Z76B/ref=sr_1_5?crid=1YTG2KZ23E01B&dib=eyJ2IjoiMSJ9.EC0sCLHxpPWfOmJ4h6Tk3TVXS8-7deSmpKn58bNdRhPBAeD3evooERr6Xw5RdBUfehQAn7aqRoP-i9VVJ6qbRbGUjrHmK9X1O-Pd5t1uaPv5L-dtkUXTHdTHLpuFpg8cs6OyRKN8pk_NwnekLDVSgYjxIfqr3Kq3Q-21zHR1nDU6sWA66MWwsXC-KIS2Kxv20-pAKfLGeZ0cudArUT1GT4aFvhfTlsv_LQMlUuddn55TRmSNTmxcZuovarX-30aPuvEhlTMX9vHWjAoYV2WipsIH_vpZSDujNbKiN80i59yEAEmpVrfJFzKJf0xCi6JmDCwIk-bn5_ClW35vz0YLLULvvKxWeg8uCJNMBGGqQJ7FKcvYAex4u_2eBWLoWijD5Iu1DK11nkP_JgAygaseX6uvIHRHTeb7ZHNiC9Kpb-f4moMjkOpu38lg4wF5fhKK.8YYBGbqxH1cCogFumzRQ3nm6PUFa1r7kb3lqTWznRYw&dib_tag=se&keywords=SAMSUNG%2BGalaxy%2BZ%2BFold6%2B5G(12GB%2BRAM%2C256GB%2CNavy)&qid=1743100806&sprefix=samsung%2Bgalaxy%2Bz%2Bfold6%2B5g%2B12gb%2Bram%2C256gb%2Cnavy%2B%2Caps%2C243&sr=8-5&th=1,149999,4.3,7,https://www.flipkart.com/samsung-galaxy-z-fold6-5g-navy-256-gb/p/itm0be517e768f41?pid=MOBH2HG9BPHRG4ZZ&lid=LSTMOBH2HG9BPHRG4ZZO2IEY3&marketplace=FLIPKART&q=SAMSUNG+Galaxy+Z+Fold6+5G%2812GB+RAM%2C256GB%2CNavy%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=277b25ca-4722-4269-9ba4-83d109e89c3e.MOBH2HG9BPHRG4ZZ.SEARCH&ppt=sp&ppn=sp&ssid=na01zj2c4g0000001743100809904&qH=99691b76da935059,149999,5,1,https://www.croma.com/samsung-galaxy-z-fold6-5g-12gb-ram-256gb-navy-/p/308174
"Redmi Note 13 5G(8GB RAM,256GB,Prism Gold)",16499,3.8,6933,https://www.amazon.in/Redmi-Storage-Bezel-Less-Slimmest-Pro-Grade/dp/B0CQPH2YSY/ref=sr_1_1?crid=3EKY6OEFSIYUT&dib=eyJ2IjoiMSJ9.Nt1cy1-ePQJU-wwFIW1Dp-4jdzfGcAZ1kz7knd90g1NpB-j_jFQv9Tmi7voKCBuH_t1ThNnhXl5fhtvkuYpfeD27Zvrwa37CcOlmC62mztWEqTFzCC_dphi3Cy_Swi8v68_DcbQfDMpwKYzfOrABaGCBN5sEiV8dqEYq8p7rO1f3IwCA377DcgmsulbnwSXOyFNhs9tpxN4P7A-TEjXqJb4-CMuMdFpaUcXyf7OfjSxkDafn5-Z3qrw5EUpwCBmFzQoeJTSwRLjdwQFVQ1-5HTsLRcczUw6zuwruxM7T3Vk1B_-lucSZ8q7-GAntyvSAwiRxBKcWTlWt8qz_Wq69LAQpAeeIRglOg9M3_GPzNiAMmbYouM2nDGbmLNM4V1RuKTyzURfpPBDFjqfkP3K2xMKBfAhG5kxy7iG6ZwsELP1rTjqsA6xY-XbCUE9fh6cK.SUoEFLPzZsdfz8przqW-BwfDL9CQ_JHudSJIeLxGA7Y&dib_tag=se&keywords=Redmi%2BNote%2B13%2B5G(8GB%2BRAM%2C256GB%2CPrism%2BGold)&qid=1743101470&sprefix=redmi%2Bnote%2B13%2B5g%2B8gb%2Bram%2C256gb%2Cprism%2Bgold%2B%2Caps%2C231&sr=8-1&th=1,16499,4.2,1006,https://www.flipkart.com/redmi-note-13-5g-prism-gold-256-gb/p/itm82475e073eb2e?pid=MOBGZDPUU53H8Z3Q&lid=LSTMOBGZDPUU53H8Z3QUM0IEX&marketplace=FLIPKART&q=Redmi+Note+13+5G%288GB+RAM%2C256GB%2CPrism+Gold%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=58de4440-56bb-4c6c-9dfa-3ba3504905d9.MOBGZDPUU53H8Z3Q.SEARCH&ppt=sp&ppn=sp&ssid=11yejx1qk00000001743101476582&qH=698a394c5cae5219,15499,3,2,https://www.croma.com/redmi-note-13-5g-8gb-ram-256gb-prism-gold-/p/303494
"vivo V29 Pro 5G (Black,256GB)(8GB RAM)",36999,4.1,35,https://www.amazon.in/V29-Pro-5G-Smartphone-Storage/dp/B0CNLNG3K3/ref=sr_1_1?crid=3P1NHZ47QM0LV&dib=eyJ2IjoiMSJ9.FDz3XK6RucTd-uevD_cdg_TO0uA1zkoQCVG2diij8idxVcchaX03DzG-oKhFSBqX354zHxWg-7gGgBFJ20C1qCjnw1UBudVEeVvx8Wlw_EfdzCAMtDeR-cdY0xVfeUsKvHgF6brSYiEWmA0jxDzBjt4xozAGrsZDt7wgpim2l5Gp_EKp6MAzqQKOgCCVyqiGjiw5Ub0PyFzccxCk8QNdnIp6UEVOJGMr4iDS-RgWWjQ.WhAebcOTd_6HlD_lvMAAjejn1hnsv8x7JJm_o-PgIL0&dib_tag=se&keywords=vivo%2BV29%2BPro%2B5G%2B(Black%2C256GB)(8GB%2BRAM)&qid=1743102198&sprefix=vivo%2Bv29%2Bpro%2B5g%2Bblack%2C256gb%2B8gb%2Bram%2B%2Caps%2C246&sr=8-1&th=1,39999,4.5,908,https://www.flipkart.com/vivo-v29-pro-5g-black-256-gb/p/itm9eb62843149e4?pid=MOBGTR8X3FSCZXWG&lid=LSTMOBGTR8X3FSCZXWGL7X4TC&marketplace=FLIPKART&q=vivo+V29+Pro+5G+%28Black%2C256GB%29%288GB+RAM%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=b431e324-279e-481f-83d0-a208f99f4468.MOBGTR8X3FSCZXWG.SEARCH&ppt=sp&ppn=sp&ssid=691gxqzj5c0000001743102204411&qH=000ed3dd140969d6,31194,5,1,https://www.croma.com/vivo-v29-pro-5g-8gb-ram-256gb-space-black-/p/300599
"vivo Y200 5G(8GB RAM,256GB,Desert Gold)",18845,4.1,1029,https://www.amazon.in/Vivo-Desert-Storage-Additional-Exchange/dp/B07WHPL866/ref=sr_1_1?crid=16IQ46OD0TOY0&dib=eyJ2IjoiMSJ9.dTH0pvi7lHEZcGMMnVfHZjWoUmMWflfXxm2hAX9E5fWQhoU4-ZOb1ClUS_RutT_rJfTVpM1n49QKiRYyMia7KeG7T2M2tAfSTt5g96XyxeDMFjsRgPQzDZESCY8etHUZQURwlhYfFrzAg6AMO7jcOZMJwSmco9cJIRGbrXmE2Hhbpch8dMPkxdfC8gHsJYlzSdZjBtWmSKzlq63oVkBZiAWikmZquy-LKU49ScPzpqs.W5I--ihAvU6ruzLSAnZit8nvG3dXI2IFen1qfXik5nY&dib_tag=se&keywords=vivo%2BY200%2B5G(8GB%2BRAM%2C256GB%2CDesert%2BGold)&qid=1743102624&sprefix=vivo%2By200%2B5g%2B8gb%2Bram%2C256gb%2Cdesert%2Bgold%2B%2Caps%2C266&sr=8-1&th=1,23490,4.4,218,https://www.flipkart.com/vivo-y200-5g-desert-gold-256-gb/p/itmc79ade2c32297?pid=MOBGXZBWE8FGXC2U&lid=LSTMOBGXZBWE8FGXC2UIOUYMM&marketplace=FLIPKART&q=vivo+Y200+5G%288GB+RAM%2C256GB%2CDesert+Gold%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=0a0d296c-4acd-4a0c-a97a-98b7a8290eeb.MOBGXZBWE8FGXC2U.SEARCH&ppt=sp&ppn=sp&ssid=57z03gob400000001743102630789&qH=d4b4040f1bbb6a5d,21999,4,1,https://www.croma.com/vivo-y200-5g-8gb-ram-256gb-desert-gold-/p/304694
"OnePlus 11R 5G(16GB RAM,256GB,Galactic Silver)",39999,4.4,3727,https://www.amazon.in/OnePlus-Galactic-Silver-256GB-Storage/dp/B0BSNNYHY5/ref=sr_1_2?crid=2KSC9QUI581NX&dib=eyJ2IjoiMSJ9.scIu2W-3zTBjgluK8E8FyL4CJS4ehKDxvGNo5acNWMtD35kXa_XoYXQwO8ZnVcssBwnrE7Z_9638UAaUbpzyS9C3CLo7XbvicVuFOP3PtVR44_xusfbejDGtLFQgYmKevGm5hoI38rcCAd4cVbvtxJAkNPW7rqGGVu4fkhnIPquyNeGt22kiYe1K-S3_Y3fmgjR8ospIW9zmKBA1XYOEVwcqDyn7JFZxsULHEHxk27E.RRGU4z6G4PUXThmkOCVQj4YPUEVQtzNdG5WCrH50Tt0&dib_tag=se&keywords=OnePlus+11R+5G%2816GB+RAM%2C256GB%2CGalactic+Silver%29&qid=1743131135&sprefix=oneplus+11r+5g+16gb+ram%2C256gb%2Cgalactic+silver+%2Caps%2C853&sr=8-2,38700,4.5,914,https://www.flipkart.com/oneplus-11r-5g-galactic-silver-256-gb/p/itmd8344a066fd54?pid=MOBGN3BQGU5BRTHZ&q=OnePlus+11R+5G%2816GB+RAM%2C256GB%2CGalactic+Silver%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=0a7b0222-f48c-4df9-beb7-ac1d7d7292c2.MOBGN3BQGU5BRTHZ.SEARCH&ppt=hp&ppn=homepage&ssid=ebk11yz59s0000001743131144639&qH=c1ca4c1e490285fa,32994,4.1,24,https://www.croma.com/oneplus-11r-5g-16gb-ram-256gb-galactic-silver-/p/269148
"OnePlus Nord CE4 5G(8GB RAM,128GB,Celadon Marble)",22999,4.2,7853,https://www.amazon.in/Oneplus-Celadon-Marble-128Gb-Storage/dp/B0CX58MTNN/ref=sr_1_2_sspa?crid=29AX2ZPSDQTQ1&dib=eyJ2IjoiMSJ9.ygama0C3BZ2IIQEvGQ0XqxlzyrzTTeggUPqws7QspqyjafsOcBHpf6_CAzNMngdvyN_bYDSUNypZAmdF0voLNoTwm1dTnMiljs2Xz__SG3IJ0HZqUXwflJkhkSoV2IM4S_J6WywVOax1n6Hf_Ss18w.v6kcZJ9jaC9wDR8zv-dEMJb1XdZ3OeFkS4-SR3zA10w&dib_tag=se&keywords=OnePlus%2BNord%2BCE4%2B5G(8GB%2BRAM%2C128GB%2CCeladon%2BMarble)&qid=1743131471&sprefix=oneplus%2Bnord%2Bce4%2B5g%2B8gb%2Bram%2C128gb%2Cceladon%2Bmarble%2B%2Caps%2C436&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,21703,4.5,1150,https://www.flipkart.com/oneplus-nord-ce4-celadon-marble-128-gb/p/itm5a09089114afb?pid=MOBGZN8YJ4KZ2KNH&lid=LSTMOBGZN8YJ4KZ2KNHLQ9XG7&marketplace=FLIPKART&q=OnePlus+Nord+CE4+5G%288GB+RAM%2C128GB%2CCeladon+Marble%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=c39700fa-2dc0-4d14-b5a2-0e0a96b482db.MOBGZN8YJ4KZ2KNH.SEARCH&ppt=sp&ppn=sp&ssid=irjpfbcpdc0000001743131403393&qH=cb097003ff2ec1ab,22999,2.8,9,https://www.croma.com/oneplus-nord-ce4-5g-8gb-ram-128gb-marble-/p/305870
"OnePlus Nord 3 5G(8GB RAM,128GB,Tempest Gray)",22990,4.1,2176,https://www.amazon.in/OnePlus-Nord-Tempest-128GB-Storage/dp/B0C7V84BS2/ref=sr_1_3?crid=3A5GB7YD2GYFD&dib=eyJ2IjoiMSJ9.6M1_AdlaIPpTrMjPBFPm9ZQWZ8d4zaxE28La5lngT0xuQxUsRV2OPUTfTMtVV1ZfSlWl59_DPkNRo0vuVCrWnSPZmdRNK4dszKzUIWDo-DHMvA4ip01c2bJCKkHLOzCe4cDtkdaoVx8TbBczimZzxG0gMYltHos6neyqsZa67LfDQCwMSsTRh-fYRx_y90CszVk1A6IN2boK6pIMz26SUzzUc7Rxg_T5mbKUPgsLQ04.lX8lnl8BIqOBZRKSfXZhcvYLhfqHw8OncT_N50HboFE&dib_tag=se&keywords=OnePlus+Nord+3+5G%288GB+RAM%2C128GB%2CTempest+Gray%29&qid=1743133138&sprefix=oneplus+nord+3+5g+8gb+ram%2C128gb%2Ctempest+gray+%2Caps%2C312&sr=8-3,34899,4.3,1249,https://www.flipkart.com/oneplus-nord-3-5g-tempest-gray-128-gb/p/itm5fc87afce35dc?pid=MOBGRK2VXCKBADB5&lid=LSTMOBGRK2VXCKBADB5T2UCN9&marketplace=FLIPKART&q=OnePlus+Nord+3+5G%288GB+RAM%2C128GB%2CTempest+Gray%29&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2b9c890c-cd7f-4db5-8d14-2b8e7db89acc.MOBGRK2VXCKBADB5.SEARCH&ppt=sp&ppn=sp&ssid=1ixbdzxe0w0000001743132605166&qH=cee9198cc603a0df,28994,3.2,3,https://www.croma.com/oneplus-nord-3-5g-8gb-ram-128gb-tempest-gray-/p/274673
